"","Indiv","Trait","Sex","Born","Breed","isCandidate","Age","Class","c0","c1","lb","oc","ub","Ne","oc_using_AshFDWpM","AshFDWpM","oc_using_DWpM","DWpM","loc","Region"
"SL18-NC-10-MG3","SL18-NC-10-MG3",-0.0647750952225837,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,1.13442862804264e-06,NA,"Ne60",1.13442862804264e-06,-0.0647750952225837,8.19000991950022e-08,-0.14068937314082,"NC","GOM"
"SA18-CB-7-MG3","SA18-CB-7-MG3",0.288819350323634,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.00555970087421342,NA,"Ne60",0.00555970087421342,0.288819350323634,0.00552374260291437,0.25693744506697,"CB","GOM"
"SL18-OI-14-MG1","SL18-OI-14-MG1",0.0167118273835429,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.00308954571822181,NA,"Ne60",0.00308954571822181,0.0167118273835429,0.00533953577939869,0.091077873457437,"OI","GOM"
"SL18-CC-3-MG1","SL18-CC-3-MG1",-0.0072635657569518,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,1.21308763717117e-07,NA,"Ne60",1.21308763717117e-07,-0.0072635657569518,6.3781296378985e-08,0.00818787879724615,"CC","GOM"
"SL18-CC-4-MG11","SL18-CC-4-MG11",-0.0774988428397785,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,2.19428642501704e-07,NA,"Ne60",2.19428642501704e-07,-0.0774988428397785,7.61047613998321e-08,-0.0556726031105922,"CC","GOM"
"SL18-JS-5-MG3","SL18-JS-5-MG3",-0.0931218856475162,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,1.65625290073755e-05,NA,"Ne60",1.65625290073755e-05,-0.0931218856475162,0.00339254288421255,-0.033309758508742,"JS","GOM"
"SL18-JS-9-MG1","SL18-JS-9-MG1",-0.186407043440326,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,1.78473941095425e-07,NA,"Ne60",1.78473941095425e-07,-0.186407043440326,5.87887373081188e-08,-0.203480704383338,"JS","GOM"
"SL18-NC-1-MG1","SL18-NC-1-MG1",-0.0771633198332036,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,1.11910828831777e-06,NA,"Ne60",1.11910828831777e-06,-0.0771633198332036,7.5902546617034e-08,-0.116152667557406,"NC","GOM"
"SA18-CB-1-MG12","SA18-CB-1-MG12",-0.125608922945632,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,7.66746386907329e-08,NA,"Ne60",7.66746386907329e-08,-0.125608922945632,5.83789877664753e-08,-0.0219164812862446,"CB","GOM"
"SL18-JS-5-MG2","SL18-JS-5-MG2",-0.191862733347809,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,1.44822411791249e-07,NA,"Ne60",1.44822411791249e-07,-0.191862733347809,9.49684973411006e-08,-0.132851275499307,"JS","GOM"
"SA18-CB-10-MG3","SA18-CB-10-MG3",0.42493631086611,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.0402963328791749,NA,"Ne60",0.0402963328791749,0.42493631086611,0.0194334432003821,0.223006347014982,"CB","GOM"
"SL18-JS-6-MG3","SL18-JS-6-MG3",0.281574594722638,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.0213170579844925,NA,"Ne60",0.0213170579844925,0.281574594722638,0.0218410366478512,0.292161924603584,"JS","GOM"
"SL18-LD-2-MG2","SL18-LD-2-MG2",0.0890287728410865,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.00837856015566335,NA,"Ne60",0.00837856015566335,0.0890287728410865,0.00846758542644544,0.048147286052185,"LD","GOM"
"SL18-JS-6-MG2","SL18-JS-6-MG2",0.259722208164101,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.0194585142177603,NA,"Ne60",0.0194585142177603,0.259722208164101,0.0197827242691636,0.269236923708095,"JS","GOM"
"SL18-OI-2-MG2","SL18-OI-2-MG2",-0.00769576646077676,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,3.61156072039239e-06,NA,"Ne60",3.61156072039239e-06,-0.00769576646077676,5.98942232924411e-08,-0.0988202413935916,"OI","GOM"
"SL18-JS-19-MG2","SL18-JS-19-MG2",-0.0341626528508176,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.00207438925306818,NA,"Ne60",0.00207438925306818,-0.0341626528508176,4.58581494788479e-08,-0.200326473443349,"JS","GOM"
"SL18-OD-6-MG2","SL18-OD-6-MG2",-0.0304459756403276,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,8.22649996501085e-06,NA,"Ne60",8.22649996501085e-06,-0.0304459756403276,1.85645613040373e-07,0.0320045026105097,"OD","GOM"
"SL18-NC-15-MG1","SL18-NC-15-MG1",-0.234101130841286,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,9.97905464085406e-08,NA,"Ne60",9.97905464085406e-08,-0.234101130841286,1.09834662334497e-05,-0.0291178261526381,"NC","GOM"
"SA18-CB-4-MG2","SA18-CB-4-MG2",0.190131140333387,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.0153630621398472,NA,"Ne60",0.0153630621398472,0.190131140333387,0.00929743765187918,0.133436835557009,"CB","GOM"
"SL18-OD-6-MG1","SL18-OD-6-MG1",-0.0283502658990885,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,1.49448737777319e-05,NA,"Ne60",1.49448737777319e-05,-0.0283502658990885,0.00629304169086494,0.107679042070872,"OD","GOM"
"SA18-CB-1-MG13","SA18-CB-1-MG13",0.131740874556791,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,1.69353368688829e-06,NA,"Ne60",1.69353368688829e-06,0.131740874556791,4.21568670736245e-07,0.117639312116809,"CB","GOM"
"SL18-OI-4-MG3","SL18-OI-4-MG3",0.0953410889452695,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,1.34862549142362e-06,NA,"Ne60",1.34862549142362e-06,0.0953410889452695,2.24079231605971e-08,-0.120186295236826,"OI","GOM"
"SL18-NL-5-MG2","SL18-NL-5-MG2",-0.0634477562224147,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,1.22087364542585e-06,NA,"Ne60",1.22087364542585e-06,-0.0634477562224147,4.08086619300378e-06,-0.0290513830264086,"NL","GOM"
"SL18-NC-9-MG2","SL18-NC-9-MG2",-0.0492731499887784,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.00324714553950015,NA,"Ne60",0.00324714553950015,-0.0492731499887784,0.00133672271080172,-0.0642296883979801,"NC","GOM"
"SL18-OI-11-MG4","SL18-OI-11-MG4",0.0056247943690169,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,1.68447367555354e-07,NA,"Ne60",1.68447367555354e-07,0.0056247943690169,8.05358403682318e-08,-0.0252334761318684,"OI","GOM"
"SL18-NC-2-MG1","SL18-NC-2-MG1",0.108174241474511,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.00722904331444402,NA,"Ne60",0.00722904331444402,0.108174241474511,0.00947580899842045,0.144908729123681,"NC","GOM"
"SL18-JS-11-MG3","SL18-JS-11-MG3",-0.00413269513363371,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.00669591606629517,NA,"Ne60",0.00669591606629517,-0.00413269513363371,2.27192504053085e-07,-0.108144995817088,"JS","GOM"
"SL18-JS-9-MG2","SL18-JS-9-MG2",-0.219429140895285,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,1.14865183488882e-07,NA,"Ne60",1.14865183488882e-07,-0.219429140895285,3.5346786380371e-08,-0.231827738351376,"JS","GOM"
"SL18-JS-19-MG1","SL18-JS-19-MG1",0.0523850840645221,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.0123556267480412,NA,"Ne60",0.0123556267480412,0.0523850840645221,0.00970854575012783,-0.00215822889911865,"JS","GOM"
