Indiv,Sex,AshFDWpM,oc_using_AshFDWpM,Rank_first_AshFDWpM_then_oc,DWpM,oc_using_DWpM,Rank_DWpM_then_oc,AshOnly,WWP,PDW
SL18-UCONN-S57-FG1,female,-0.027712093,2.52E-07,,-0.025385382,8.04E-08,,0.471205729,0.051622565,-0.287768986
SL18-UCONN-S57-FG3,female,-0.027712093,2.52E-07,,-0.025385382,8.04E-08,,0.471205729,0.051622565,-0.287768986
SL18-LD-1-FG2,female,0.038589032,0.007297599,,-0.026032225,0.005644624,,0.04538317,-0.141434736,0.129508363
SL18-LD-10-FG1,female,-0.046418612,0.000864187,,-0.02753197,0.001656428,,0.002185526,-0.160964044,0.16725668
SL18-OI-2-FG2,female,0.041595661,0.001932425,,-0.029289048,2.06E-07,,-0.161208198,-0.20453746,0.167312458
SL18-CC-9-FG3,female,-0.118987791,1.24E-07,,-0.032404463,7.55E-08,,0.395497178,-0.096738096,-0.069325126
SL18-LD-9-FG3,female,-0.017601851,0.003170219,,-0.034112292,0.002071755,,-0.351599947,-0.208308776,0.187878504
SL18-LD-2-FG3,female,-0.002387804,0.000584716,,-0.038246735,0.000415874,,0.052061664,-0.251795322,0.410013551
SL18-LD-10-FG2,female,-0.06631948,0.001294395,,-0.038292775,0.002466248,,0.380869383,-0.179751136,0.200997618
SL18-LD-10-FG3,female,-0.054448991,0.003359582,,-0.040309719,0.003119359,,0.160404327,-0.148803624,0.153168941
SL18-SF-13-FG1,female,-0.045202799,2.12E-07,,-0.045991553,4.23E-08,,-0.185558486,-0.204406062,0.343394924
SL18-OI-16-FG3,female,-0.028416271,0.000211796,,-0.047468213,1.18E-05,,-0.261827658,-0.085978383,0.091702724
SL18-NL-5-FG3,female,-0.044124143,0.001434211,,-0.049840306,0.001519818,,0.079719663,-0.272192865,-0.040267958
SL18-LD-9-FG2,female,-0.012508565,0.003779028,,-0.051269489,0.001395617,,-0.235188728,-0.281766565,0.193572655
SL18-NL-10-FG1,female,-0.050176506,0.004753748,,-0.052485657,0.005945212,,0.253968191,-0.015513066,-0.246638898
SL18-LD-4-FG3,female,0.007618536,0.003542534,,-0.05347421,0.001110591,,-0.007152369,-0.264033096,0.161923887
SL18-LD-3-FG2,female,-0.015780314,0.002705619,,-0.053575196,8.44E-07,,0.091697613,-0.149856317,0.002261165
SL18-SF-18-FG1,female,0.008507993,0.002432184,,-0.054638406,3.84E-07,,-0.102759338,-0.168908172,0.228787278
SL18-OI-17-FG2,female,0.108830688,0.001436232,28,-0.055037919,2.15E-08,,-0.081238957,-0.369258376,-0.076110859
SL18-OD-3-FG4,female,-0.030981449,0.000948904,,-0.056464002,0.000935778,,0.014234286,-0.156264746,-0.006204085
SL18-OD-3-FG2,female,-0.030981449,0.000948904,,-0.056464002,0.000935778,,0.014234286,-0.156264746,-0.006204085
SL18-OI-2-FG3,female,0.025918396,0.002601302,,-0.056655984,1.41E-07,,-0.104896881,-0.277719436,0.1505007
SL18-LD-3-FG1,female,-0.032229237,0.002641124,,-0.061025718,0.001090559,,0.241547546,-0.342341515,0.217485962
SL18-LD-4-FG1,female,-0.00112608,0.002095947,,-0.062179075,0.000771926,,-0.065419866,-0.185731213,0.111301544
SL18-LD-13-FG1,female,-0.069682815,0.003091819,,-0.06345702,0.003175917,,-0.246305517,-0.217098585,0.154570549
SL18-CC-1-FG3,female,-0.037224147,5.12E-07,,-0.064715586,1.95E-08,,0.645536382,-0.219264538,0.078914136
SL18-LD-2-FG2,female,-0.045810352,1.85E-07,,-0.068579119,5.76E-08,,0.081570981,-0.503017006,0.7642858
SL18-NL-10-FG2,female,-0.046978484,0.005251008,,-0.073956945,0.00443133,,-0.032342236,-0.335289082,-0.024365489
SL18-LD-4-FG2,female,-0.001126002,0.002095953,,-0.075194336,7.57E-07,,-0.065419908,-0.372436163,0.258273794
SL18-NL-9-FG2,female,-0.096640947,0.002777565,,-0.077082091,0.004916587,,0.127515015,0.004268901,-0.494446944
SL18-LD-3-FG3,female,-0.035005369,0.002544245,,-0.077117934,0.001977,,0.118583689,-0.288942879,0.144792544
SL18-CC-1-FG2,female,-0.141226759,9.43E-08,,-0.077145687,2.65E-08,,0.859051442,-0.16546094,0.025833979
SL18-NC-9-FG2,female,-0.040535673,0.001485161,,-0.077372294,4.04E-07,,0.187863093,-0.166742463,0.143641601
SL18-NL-5-FG1,female,-0.059454083,0.002756726,,-0.079229063,0.00092628,,0.155757835,-0.339812371,-0.054183456
SL18-LL-9-FG1,female,-0.002713031,0.00091236,,-0.081588202,8.46E-08,,-0.070906248,-0.309228102,0.043448994
