"","Indiv","Trait","Sex","Born","Breed","isCandidate","Age","Class","c0","c1","lb","oc","ub","Ne","oc_using_AshFDWpM","AshFDWpM","oc_using_DWpM","DWpM"
"SL18-LD-9-MG1","SL18-LD-9-MG1",0.0101485920186838,"male",1,"missing",TRUE,1,"missing.Age1.male",0.00182481751824818,0,0,0.00658482785790343,NA,"Ne60",0.00658482785790343,0.0101485920186838,0.00841986822580366,-0.0127093268449811
"SL18-NL-2-MG2","SL18-NL-2-MG2",-0.141108029706929,"male",1,"missing",TRUE,1,"missing.Age1.male",0.00182481751824818,0,0,3.25610458806793e-06,NA,"Ne60",3.25610458806793e-06,-0.141108029706929,0.000299573884868621,-0.087653110408284
"SL18-LD-2-MG3","SL18-LD-2-MG3",0.0348848556965083,"male",1,"missing",TRUE,1,"missing.Age1.male",0.00182481751824818,0,0,0.00115963279475415,NA,"Ne60",0.00115963279475415,0.0348848556965083,2.33120484805596e-07,-0.040400997041649
"SL18-OI-7-MG1","SL18-OI-7-MG1",0.0366854277211866,"male",1,"missing",TRUE,1,"missing.Age1.male",0.00182481751824818,0,0,4.15390933867008e-07,NA,"Ne60",4.15390933867008e-07,0.0366854277211866,4.18432697075019e-08,0.0568496572930288
"SL18-LD-2-MG1","SL18-LD-2-MG1",0.00168631705314931,"male",1,"missing",TRUE,1,"missing.Age1.male",0.00182481751824818,0,0,0.00149849206241967,NA,"Ne60",0.00149849206241967,0.00168631705314931,9.03907454975517e-05,-0.0405177563407626
"SA18-CB-1-MG2","SA18-CB-1-MG2",0.0027918218940637,"male",1,"missing",TRUE,1,"missing.Age1.male",0.00182481751824818,0,0,0.00106935482431886,NA,"Ne60",0.00106935482431886,0.0027918218940637,0.00497956475518181,0.0623390080154231
"SL18-NL-9-MG1","SL18-NL-9-MG1",-0.0899679127975626,"male",1,"missing",TRUE,1,"missing.Age1.male",0.00182481751824818,0,0,0.00350595491916617,NA,"Ne60",0.00350595491916617,-0.0899679127975626,6.37298071425098e-08,-0.134027097763865
"SA18-CB-2-MG1","SA18-CB-2-MG1",0.0329532531836834,"male",1,"missing",TRUE,1,"missing.Age1.male",0.00182481751824818,0,0,0.00122839129680456,NA,"Ne60",0.00122839129680456,0.0329532531836834,4.41230125296466e-08,0.0105188726098742
"SA18-CB-4-MG1","SA18-CB-4-MG1",-0.0272301046785355,"male",1,"missing",TRUE,1,"missing.Age1.male",0.00182481751824818,0,0,9.26585167997923e-08,NA,"Ne60",9.26585167997923e-08,-0.0272301046785355,1.97923025123546e-08,-0.0497791087579003
"SL18-OI-18-MG1","SL18-OI-18-MG1",0.0120440092007884,"male",1,"missing",TRUE,1,"missing.Age1.male",0.00182481751824818,0,0,0.000943437101762246,NA,"Ne60",0.000943437101762246,0.0120440092007884,7.13875625377249e-08,-0.0693288010378651
